date,temperature_celsius
2015-01-01,24.311826041050043
2015-01-02,25.12999928337553
2015-01-03,24.012011443480496
2015-01-04,22.979477638104633
2015-01-05,30.514562242212335
2015-01-06,26.349555096318717
2015-01-07,24.261416459027124
2015-01-08,27.161455443208233
2015-01-09,23.774461973206492
2015-01-10,29.386726154474907
2015-01-11,24.463729256695103
2015-01-12,28.25061533875138
2015-01-13,25.740797189485185
2015-01-14,26.3010670430164
2015-01-15,28.060000138850548
2015-01-16,25.85407116170767
2015-01-17,27.435971277438288
2015-01-18,28.40763959940704
2015-01-19,26.271509995739986
2015-01-20,29.463108065664947
2015-01-21,30.0113476724511
2015-01-22,24.472081369299417
2015-01-23,28.064245562793126
2015-01-24,29.560737856557047
2015-01-25,32.736518132004846
2015-01-26,25.907282918206654
2015-01-27,31.416322688215946
2015-01-28,28.489085295081374
2015-01-29,28.373927344363793
2015-01-30,32.91140490416268
2015-01-31,31.31198718050391
2015-02-01,29.578576132266434
2015-02-02,32.2716762692628
2015-02-03,32.56673367827315
2015-02-04,31.880749161789165
2015-02-05,29.54131494062621
2015-02-06,25.506665873871913
2015-02-07,30.9306960712104
2015-02-08,30.160786412206917
2015-02-09,33.307886618871116
2015-02-10,31.065289915218262
2015-02-11,29.277221384422532
2015-02-12,32.52737337309153
2015-02-13,32.08621462253543
2015-02-14,35.728134472242935
2015-02-15,32.54603115569303
2015-02-16,33.490928726381625
2015-02-17,33.481862417150026
2015-02-18,31.941912353318596
2015-02-19,32.01973713846713
2015-02-20,31.760318749046665
2015-02-21,30.38750293764394
2015-02-22,34.23412744810671
2015-02-23,31.70002721924675
2015-02-24,33.17021364494389
2015-02-25,32.01032205587927
2015-02-26,37.351145611895575
2015-02-27,36.55286898328949
2015-02-28,30.077431565010684
2015-03-01,33.78943620027895
2015-03-02,33.194583046478726
2015-03-03,37.29525125036484
2015-03-04,28.8571894372522
2015-03-05,36.418900111426
2015-03-06,33.95091679415337
2015-03-07,34.87659622137453
2015-03-08,35.137552308142375
2015-03-09,33.182257484562534
2015-03-10,37.884035022489456
2015-03-11,38.586326664486364
2015-03-12,33.56302516821854
2015-03-13,38.19686664944228
2015-03-14,35.237920928936155
2015-03-15,36.14527009609268
2015-03-16,33.77562900453858
2015-03-17,32.48894981762066
2015-03-18,35.51603756001114
2015-03-19,35.760654874264404
2015-03-20,33.737315562347014
2015-03-21,33.405396780798476
2015-03-22,35.20284315084724
2015-03-23,37.188823322146725
2015-03-24,34.626154493757326
2015-03-25,33.562395546996925
2015-03-26,33.97496999136898
2015-03-27,36.57802580225321
2015-03-28,33.29793131379462
2015-03-29,36.482748455849666
2015-03-30,32.942152435819445
2015-03-31,36.3621056876481
2015-04-01,36.07972009823359
2015-04-02,37.447365011799675
2015-04-03,35.18137606626485
2015-04-04,34.09676092816797
2015-04-05,34.945914378282914
2015-04-06,34.84265559251347
2015-04-07,36.5569840823375
2015-04-08,36.26401619444159
2015-04-09,38.81860323556917
2015-04-10,35.42722943935239
2015-04-11,35.93177211981597
2015-04-12,35.04457496443578
2015-04-13,32.48591730287518
2015-04-14,35.14159394098396
2015-04-15,32.81599190179689
2015-04-16,29.906810422875882
2015-04-17,35.70692752792104
2015-04-18,36.332422915042564
2015-04-19,32.320848429284815
2015-04-20,36.09734474892578
2015-04-21,36.287450105358054
2015-04-22,36.318900521332054
2015-04-23,38.99820611523776
2015-04-24,34.806990230348966
2015-04-25,35.734703564562686
2015-04-26,33.429890663133804
2015-04-27,35.27083119972787
2015-04-28,31.629481366596092
2015-04-29,34.102399314728395
2015-04-30,33.711998721238174
2015-05-01,35.172455482301196
2015-05-02,32.266404014637
2015-05-03,34.20723011449209
2015-05-04,32.3280869495568
2015-05-05,33.69300214765799
2015-05-06,37.524729769870355
2015-05-07,36.701642737007624
2015-05-08,30.352046116293295
2015-05-09,32.98543417214075
2015-05-10,31.948422362405353
2015-05-11,28.36653003718545
2015-05-12,33.019146015564196
2015-05-13,29.177729845534202
2015-05-14,32.70174080029245
2015-05-15,32.42103923115199
2015-05-16,32.315993408058056
2015-05-17,32.24307816190343
2015-05-18,31.633595703357287
2015-05-19,26.67815385475493
2015-05-20,30.3270324322711
2015-05-21,33.89796970094487
2015-05-22,29.194692179147328
2015-05-23,33.874147728452805
2015-05-24,29.640270096927924
2015-05-25,31.890415742754886
2015-05-26,30.838340324284655
2015-05-27,24.00449038055073
2015-05-28,27.92374457794908
2015-05-29,29.88190844611891
2015-05-30,27.803338625610333
2015-05-31,29.167221113147836
2015-06-01,30.031297940693303
2015-06-02,28.077545713749448
2015-06-03,27.972955729908055
2015-06-04,29.872108934644675
2015-06-05,27.34358418144401
2015-06-06,26.54842734539979
2015-06-07,27.96140835547133
2015-06-08,29.786443846977864
2015-06-09,28.6239613126013
2015-06-10,31.295209396944504
2015-06-11,27.535172921196963
2015-06-12,28.53402980428217
2015-06-13,25.634762905774345
2015-06-14,28.64682887721321
2015-06-15,27.38565227863922
2015-06-16,29.130819527136154
2015-06-17,28.866160521259683
2015-06-18,27.16328303717022
2015-06-19,25.7647445311618
2015-06-20,31.859723625068288
2015-06-21,26.37470647769112
2015-06-22,28.82666866045574
2015-06-23,21.620351672297968
2015-06-24,23.75841061736342
2015-06-25,25.136754767295713
2015-06-26,24.37630363831224
2015-06-27,24.20769802134506
2015-06-28,26.007939705580114
2015-06-29,26.42823331125346
2015-06-30,26.383276406389715
2015-07-01,29.057817287116492
2015-07-02,27.99921220492074
2015-07-03,26.36625292194732
2015-07-04,23.035303341746175
2015-07-05,28.12636216494584
2015-07-06,23.71432911898816
2015-07-07,29.58535751040251
2015-07-08,19.22187904284882
2015-07-09,21.008532045928053
2015-07-10,21.82648797502556
2015-07-11,29.45490229980512
2015-07-12,23.94564413149425
2015-07-13,24.414011178729194
2015-07-14,21.95335987240173
2015-07-15,24.341249077450698
2015-07-16,21.89361593304612
2015-07-17,21.313862305656656
2015-07-18,22.584361406884746
2015-07-19,20.389516259521045
2015-07-20,21.7147884295804
2015-07-21,22.154736037004483
2015-07-22,24.28845639267677
2015-07-23,19.77538657911809
2015-07-24,19.81645140047456
2015-07-25,19.16539971815298
2015-07-26,22.85744092015371
2015-07-27,22.42489633497972
2015-07-28,20.43482447723259
2015-07-29,19.107879115020715
2015-07-30,18.17709352903861
2015-07-31,19.75806692140634
2015-08-01,21.091185971347727
2015-08-02,22.407903198336328
2015-08-03,19.46673792476604
2015-08-04,20.900282619512634
2015-08-05,18.94629473863353
2015-08-06,20.367012393947018
2015-08-07,17.982575320256085
2015-08-08,21.524630338227677
